Ulasan;Sentimen
respon penjual baik belum bisa menilai efeknya semoga ada hasil;netral
tidak direkomendasikan tidak ada efek asli tidak beli lagi;negatif
produk aman digunakan butuh waktu untuk lihat hasil semoga ada hasil;netral
respon penjual baik cocok untuk pemula biasa saja;netral
ga ada perubahan sama sekali teksturnya aneh tidak rekomendasi;negatif
respon penjual baik belum bisa menilai efeknya tidak buruk;netral
respon penjual baik butuh waktu untuk lihat hasil biasa saja;netral
respon penjual baik masih proses penyesuaian oke untuk sekarang;netral
pengalaman kurang baik malah bikin mulas sangat mengecewakan;negatif
masih tunggu hasil lumayan untuk percobaan semoga ada hasil;netral
belum tahu hasilnya lumayan untuk percobaan moga cocok nantinya;netral
aroma biasa saja butuh waktu untuk lihat hasil moga cocok nantinya;netral
rasa terlalu pahit tidak nyaman dipakai parah banget;negatif
setelah coba beberapa hari pengiriman telat dan kemasan rusak nyesel beli;negatif
masih tunggu hasil lumayan untuk percobaan semoga ada hasil;netral
hasilnya jauh dari ekspektasi pengiriman telat dan kemasan rusak kurang memuaskan;negatif
tidak direkomendasikan tidak nyaman dipakai kapok beli sini lagi;negatif
hasilnya jauh dari ekspektasi tidak ada efek asli tidak beli lagi;negatif
tidak direkomendasikan bikin perut tidak enak kurang memuaskan;negatif
masih tunggu hasil tidak ada masalah sejauh ini oke untuk sekarang;netral
bau kurang enak malah bikin mulas parah banget;negatif
pengiriman cepat cocok untuk pemula tidak buruk;netral
belum tahu hasilnya cocok untuk pemula semoga ada hasil;netral
aroma biasa saja cocok untuk pemula semoga ada hasil;netral
rasa standar saja lumayan untuk percobaan oke untuk sekarang;netral
kemasan rapi belum bisa menilai efeknya semoga ada hasil;netral
sudah pakai seminggu tidak nyaman dipakai produk gagal total;negatif
pengiriman cepat belum bisa menilai efeknya tidak buruk;netral
aroma biasa saja lumayan untuk percobaan oke untuk sekarang;netral
setelah coba beberapa hari cuma buang uang tidak sesuai deskripsi;negatif
respon penjual baik netral tidak ada perubahan berarti tidak buruk;netral
pengiriman cepat lumayan untuk percobaan semoga ada hasil;netral
belum tahu hasilnya belum bisa menilai efeknya oke untuk sekarang;netral
pengalaman kurang baik harga tidak sebanding kualitas kapok beli sini lagi;negatif
respon penjual baik tidak ada masalah sejauh ini oke untuk sekarang;netral
tidak direkomendasikan harga tidak sebanding kualitas tidak sesuai deskripsi;negatif
respon penjual baik butuh waktu untuk lihat hasil oke untuk sekarang;netral
baru coba sedikit butuh waktu untuk lihat hasil semoga ada hasil;netral
rasa standar saja tidak ada masalah sejauh ini biasa saja;netral
aroma biasa saja masih proses penyesuaian semoga ada hasil;netral
efeknya lama banget muncul tidak ada efek asli kapok beli sini lagi;negatif
rasa terlalu pahit teksturnya aneh tidak beli lagi;negatif
rasa standar saja cocok untuk pemula oke untuk sekarang;netral
efeknya lama banget muncul belum terasa manfaatnya produk gagal total;negatif
kemasan rapi butuh waktu untuk lihat hasil semoga ada hasil;netral
tidak direkomendasikan bikin perut tidak enak nyesel beli;negatif
belum tahu hasilnya cocok untuk pemula semoga ada hasil;netral
rasa standar saja cocok untuk pemula oke untuk sekarang;netral
aku kecewa tidak ada efek asli tidak rekomendasi;negatif
pengiriman cepat netral tidak ada perubahan berarti biasa saja;netral
pengiriman cepat masih proses penyesuaian moga cocok nantinya;netral
setelah coba beberapa hari cuma buang uang parah banget;negatif
baru coba sedikit masih proses penyesuaian oke untuk sekarang;netral
ga ada perubahan sama sekali cuma buang uang tidak beli lagi;negatif
jujur tidak sesuai harapan belum terasa manfaatnya tidak beli lagi;negatif
belum tahu hasilnya cocok untuk pemula lumayan lah;netral
hasilnya jauh dari ekspektasi tidak ada efek asli tidak sesuai deskripsi;negatif
kemasan rapi tidak ada masalah sejauh ini lumayan lah;netral
bikin pusing tidak ada efek asli tidak beli lagi;negatif
bau kurang enak tidak nyaman dipakai tidak beli lagi;negatif
masih tunggu hasil lumayan untuk percobaan moga cocok nantinya;netral
masih tunggu hasil belum ada efek signifikan lumayan lah;netral
hasilnya jauh dari ekspektasi tidak ada efek asli tidak sesuai deskripsi;negatif
pengiriman cepat belum ada efek signifikan moga cocok nantinya;netral
rasa terlalu pahit teksturnya aneh tidak sesuai deskripsi;negatif
setelah coba beberapa hari harga tidak sebanding kualitas tidak rekomendasi;negatif
respon penjual baik lumayan untuk percobaan moga cocok nantinya;netral
rasa standar saja netral tidak ada perubahan berarti biasa saja;netral
ga ada perubahan sama sekali harga tidak sebanding kualitas parah banget;negatif
kemasan rapi belum bisa menilai efeknya lumayan lah;netral
bau kurang enak malah bikin mulas parah banget;negatif
jujur tidak sesuai harapan hasilnya mengecewakan parah banget;negatif
belum tahu hasilnya cocok untuk pemula lumayan lah;netral
rasa terlalu pahit pengiriman telat dan kemasan rusak nyesel beli;negatif
efeknya lama banget muncul teksturnya aneh kurang memuaskan;negatif
aroma biasa saja tidak ada masalah sejauh ini oke untuk sekarang;netral
bau kurang enak malah bikin mulas tidak beli lagi;negatif
pengiriman cepat butuh waktu untuk lihat hasil tidak buruk;netral
rasa terlalu pahit harga tidak sebanding kualitas sangat mengecewakan;negatif
sudah pakai seminggu bikin perut tidak enak produk gagal total;negatif
baru coba sedikit lumayan untuk percobaan tidak buruk;netral
baru coba sedikit lumayan untuk percobaan biasa saja;netral
bikin pusing pengiriman telat dan kemasan rusak sangat mengecewakan;negatif
tidak direkomendasikan harga tidak sebanding kualitas kurang memuaskan;negatif
ga ada perubahan sama sekali teksturnya aneh kurang memuaskan;negatif
belum tahu hasilnya cocok untuk pemula moga cocok nantinya;netral
rasa standar saja tidak ada masalah sejauh ini lumayan lah;netral
aroma biasa saja belum bisa menilai efeknya oke untuk sekarang;netral
bikin pusing bikin perut tidak enak parah banget;negatif
efeknya lama banget muncul pengiriman telat dan kemasan rusak tidak rekomendasi;negatif
pengalaman kurang baik teksturnya aneh tidak rekomendasi;negatif
efeknya lama banget muncul pengiriman telat dan kemasan rusak tidak sesuai deskripsi;negatif
sudah pakai seminggu tidak ada efek asli kapok beli sini lagi;negatif
pengiriman cepat masih proses penyesuaian semoga ada hasil;netral
jujur tidak sesuai harapan hasilnya mengecewakan parah banget;negatif
respon penjual baik masih proses penyesuaian moga cocok nantinya;netral
aku kecewa malah bikin mulas kapok beli sini lagi;negatif
bau kurang enak pengiriman telat dan kemasan rusak kurang memuaskan;negatif
belum tahu hasilnya tidak ada masalah sejauh ini lumayan lah;netral
masih tunggu hasil cocok untuk pemula tidak buruk;netral
setelah coba beberapa hari malah bikin mulas tidak sesuai deskripsi;negatif
setelah coba beberapa hari hasilnya mengecewakan produk gagal total;negatif
aroma biasa saja masih proses penyesuaian semoga ada hasil;netral
rasa standar saja tidak ada masalah sejauh ini semoga ada hasil;netral
bikin pusing cuma buang uang produk gagal total;negatif
hasilnya jauh dari ekspektasi malah bikin mulas nyesel beli;negatif
rasa terlalu pahit hasilnya mengecewakan tidak beli lagi;negatif
pengiriman cepat belum bisa menilai efeknya oke untuk sekarang;netral
jujur tidak sesuai harapan bikin perut tidak enak produk gagal total;negatif
tidak direkomendasikan harga tidak sebanding kualitas sangat mengecewakan;negatif
ga ada perubahan sama sekali cuma buang uang tidak sesuai deskripsi;negatif
produk aman digunakan tidak ada masalah sejauh ini semoga ada hasil;netral
tidak direkomendasikan malah bikin mulas parah banget;negatif
aku kecewa belum terasa manfaatnya kapok beli sini lagi;negatif
tidak direkomendasikan tidak nyaman dipakai tidak sesuai deskripsi;negatif
setelah coba beberapa hari teksturnya aneh kurang memuaskan;negatif
tidak direkomendasikan pengiriman telat dan kemasan rusak tidak rekomendasi;negatif
bau kurang enak belum terasa manfaatnya parah banget;negatif
respon penjual baik tidak ada masalah sejauh ini lumayan lah;netral
rasa standar saja netral tidak ada perubahan berarti lumayan lah;netral
baru coba sedikit belum bisa menilai efeknya semoga ada hasil;netral
respon penjual baik belum bisa menilai efeknya biasa saja;netral
produk aman digunakan cocok untuk pemula moga cocok nantinya;netral
hasilnya jauh dari ekspektasi pengiriman telat dan kemasan rusak kapok beli sini lagi;negatif
baru coba sedikit tidak ada masalah sejauh ini moga cocok nantinya;netral
respon penjual baik butuh waktu untuk lihat hasil semoga ada hasil;netral
jujur tidak sesuai harapan teksturnya aneh sangat mengecewakan;negatif
kemasan rapi belum ada efek signifikan moga cocok nantinya;netral
belum tahu hasilnya lumayan untuk percobaan tidak buruk;netral
aroma biasa saja lumayan untuk percobaan lumayan lah;netral
setelah coba beberapa hari cuma buang uang parah banget;negatif
baru coba sedikit lumayan untuk percobaan semoga ada hasil;netral
produk aman digunakan butuh waktu untuk lihat hasil tidak buruk;netral
rasa standar saja masih proses penyesuaian tidak buruk;netral
belum tahu hasilnya butuh waktu untuk lihat hasil semoga ada hasil;netral
ga ada perubahan sama sekali belum terasa manfaatnya kapok beli sini lagi;negatif
pengalaman kurang baik bikin perut tidak enak tidak sesuai deskripsi;negatif
aroma biasa saja lumayan untuk percobaan moga cocok nantinya;netral
rasa standar saja lumayan untuk percobaan moga cocok nantinya;netral
baru coba sedikit belum ada efek signifikan lumayan lah;netral
baru coba sedikit belum ada efek signifikan tidak buruk;netral
hasilnya jauh dari ekspektasi bikin perut tidak enak kapok beli sini lagi;negatif
produk aman digunakan butuh waktu untuk lihat hasil biasa saja;netral
jujur tidak sesuai harapan teksturnya aneh produk gagal total;negatif
sudah pakai seminggu cuma buang uang sangat mengecewakan;negatif
masih tunggu hasil netral tidak ada perubahan berarti tidak buruk;netral
pengalaman kurang baik bikin perut tidak enak kurang memuaskan;negatif
bikin pusing bikin perut tidak enak sangat mengecewakan;negatif
jujur tidak sesuai harapan hasilnya mengecewakan kurang memuaskan;negatif
ga ada perubahan sama sekali hasilnya mengecewakan nyesel beli;negatif
rasa terlalu pahit harga tidak sebanding kualitas parah banget;negatif
rasa standar saja belum ada efek signifikan oke untuk sekarang;netral
setelah coba beberapa hari pengiriman telat dan kemasan rusak produk gagal total;negatif
respon penjual baik cocok untuk pemula tidak buruk;netral
belum tahu hasilnya belum ada efek signifikan moga cocok nantinya;netral
masih tunggu hasil cocok untuk pemula lumayan lah;netral
pengalaman kurang baik teksturnya aneh sangat mengecewakan;negatif
pengalaman kurang baik pengiriman telat dan kemasan rusak tidak sesuai deskripsi;negatif
tidak direkomendasikan malah bikin mulas parah banget;negatif
bikin pusing belum terasa manfaatnya tidak sesuai deskripsi;negatif
belum tahu hasilnya masih proses penyesuaian tidak buruk;netral
kemasan rapi lumayan untuk percobaan tidak buruk;netral
baru coba sedikit netral tidak ada perubahan berarti oke untuk sekarang;netral
ga ada perubahan sama sekali cuma buang uang tidak rekomendasi;negatif
kemasan rapi masih proses penyesuaian semoga ada hasil;netral
setelah coba beberapa hari tidak nyaman dipakai sangat mengecewakan;negatif
baru coba sedikit belum bisa menilai efeknya tidak buruk;netral
efeknya lama banget muncul tidak ada efek asli kapok beli sini lagi;negatif
aroma biasa saja tidak ada masalah sejauh ini moga cocok nantinya;netral
efeknya lama banget muncul bikin perut tidak enak tidak rekomendasi;negatif
jujur tidak sesuai harapan bikin perut tidak enak tidak rekomendasi;negatif
efeknya lama banget muncul harga tidak sebanding kualitas tidak beli lagi;negatif
ga ada perubahan sama sekali harga tidak sebanding kualitas tidak rekomendasi;negatif
bikin pusing tidak nyaman dipakai kapok beli sini lagi;negatif
respon penjual baik masih proses penyesuaian semoga ada hasil;netral
bau kurang enak belum terasa manfaatnya tidak rekomendasi;negatif
pengalaman kurang baik tidak nyaman dipakai nyesel beli;negatif
belum tahu hasilnya lumayan untuk percobaan biasa saja;netral
hasilnya jauh dari ekspektasi pengiriman telat dan kemasan rusak kapok beli sini lagi;negatif
aroma biasa saja belum bisa menilai efeknya lumayan lah;netral
rasa standar saja cocok untuk pemula lumayan lah;netral
pengiriman cepat belum ada efek signifikan oke untuk sekarang;netral
setelah coba beberapa hari tidak ada efek asli tidak rekomendasi;negatif
belum tahu hasilnya belum ada efek signifikan lumayan lah;netral
belum tahu hasilnya butuh waktu untuk lihat hasil moga cocok nantinya;netral
jujur tidak sesuai harapan harga tidak sebanding kualitas kurang memuaskan;negatif
belum tahu hasilnya tidak ada masalah sejauh ini oke untuk sekarang;netral
bau kurang enak harga tidak sebanding kualitas nyesel beli;negatif
belum tahu hasilnya lumayan untuk percobaan biasa saja;netral
kemasan rapi lumayan untuk percobaan biasa saja;netral
masih tunggu hasil tidak ada masalah sejauh ini oke untuk sekarang;netral
jujur tidak sesuai harapan tidak nyaman dipakai tidak rekomendasi;negatif
sudah pakai seminggu cuma buang uang produk gagal total;negatif
masih tunggu hasil cocok untuk pemula semoga ada hasil;netral
rasa standar saja belum bisa menilai efeknya tidak buruk;netral
bau kurang enak tidak nyaman dipakai tidak rekomendasi;negatif
produk aman digunakan belum ada efek signifikan tidak buruk;netral
kemasan rapi tidak ada masalah sejauh ini biasa saja;netral
baru coba sedikit tidak ada masalah sejauh ini biasa saja;netral
respon penjual baik belum ada efek signifikan biasa saja;netral
pengalaman kurang baik malah bikin mulas tidak sesuai deskripsi;negatif
kemasan rapi masih proses penyesuaian lumayan lah;netral
rasa standar saja belum bisa menilai efeknya semoga ada hasil;netral
pengiriman cepat belum bisa menilai efeknya oke untuk sekarang;netral
pengiriman cepat belum bisa menilai efeknya oke untuk sekarang;netral
produk aman digunakan belum ada efek signifikan moga cocok nantinya;netral
respon penjual baik masih proses penyesuaian tidak buruk;netral
sudah pakai seminggu bikin perut tidak enak parah banget;negatif
rasa terlalu pahit tidak ada efek asli produk gagal total;negatif
aroma biasa saja lumayan untuk percobaan biasa saja;netral
efeknya lama banget muncul pengiriman telat dan kemasan rusak produk gagal total;negatif
produk aman digunakan netral tidak ada perubahan berarti biasa saja;netral
masih tunggu hasil butuh waktu untuk lihat hasil tidak buruk;netral
kemasan rapi cocok untuk pemula oke untuk sekarang;netral
kemasan rapi belum bisa menilai efeknya semoga ada hasil;netral
ga ada perubahan sama sekali belum terasa manfaatnya tidak sesuai deskripsi;negatif
tidak direkomendasikan hasilnya mengecewakan kurang memuaskan;negatif
belum tahu hasilnya lumayan untuk percobaan lumayan lah;netral
bau kurang enak belum terasa manfaatnya produk gagal total;negatif
pengiriman cepat belum bisa menilai efeknya oke untuk sekarang;netral
ga ada perubahan sama sekali belum terasa manfaatnya tidak rekomendasi;negatif
respon penjual baik lumayan untuk percobaan moga cocok nantinya;netral
respon penjual baik belum bisa menilai efeknya tidak buruk;netral
bau kurang enak bikin perut tidak enak tidak beli lagi;negatif
setelah coba beberapa hari teksturnya aneh nyesel beli;negatif
pengiriman cepat belum ada efek signifikan oke untuk sekarang;netral
sudah pakai seminggu teksturnya aneh kurang memuaskan;negatif
masih tunggu hasil lumayan untuk percobaan oke untuk sekarang;netral
bikin pusing teksturnya aneh produk gagal total;negatif
tidak direkomendasikan pengiriman telat dan kemasan rusak kurang memuaskan;negatif
tidak direkomendasikan tidak nyaman dipakai kapok beli sini lagi;negatif
baru coba sedikit belum bisa menilai efeknya moga cocok nantinya;netral
tidak direkomendasikan malah bikin mulas sangat mengecewakan;negatif
respon penjual baik masih proses penyesuaian tidak buruk;netral
masih tunggu hasil lumayan untuk percobaan biasa saja;netral
produk aman digunakan netral tidak ada perubahan berarti oke untuk sekarang;netral
tidak direkomendasikan malah bikin mulas tidak beli lagi;negatif
pengalaman kurang baik pengiriman telat dan kemasan rusak kapok beli sini lagi;negatif
hasilnya jauh dari ekspektasi belum terasa manfaatnya kurang memuaskan;negatif
bikin pusing pengiriman telat dan kemasan rusak kurang memuaskan;negatif
pengalaman kurang baik harga tidak sebanding kualitas tidak rekomendasi;negatif
kemasan rapi cocok untuk pemula semoga ada hasil;netral
aroma biasa saja tidak ada masalah sejauh ini biasa saja;netral
setelah coba beberapa hari hasilnya mengecewakan parah banget;negatif
aroma biasa saja belum bisa menilai efeknya semoga ada hasil;netral
bau kurang enak malah bikin mulas tidak rekomendasi;negatif
bikin pusing malah bikin mulas nyesel beli;negatif
pengiriman cepat belum ada efek signifikan biasa saja;netral
efeknya lama banget muncul tidak ada efek asli sangat mengecewakan;negatif
pengalaman kurang baik belum terasa manfaatnya nyesel beli;negatif
hasilnya jauh dari ekspektasi hasilnya mengecewakan kapok beli sini lagi;negatif
sudah pakai seminggu tidak ada efek asli nyesel beli;negatif
tidak direkomendasikan belum terasa manfaatnya kurang memuaskan;negatif
hasilnya jauh dari ekspektasi teksturnya aneh produk gagal total;negatif
respon penjual baik cocok untuk pemula oke untuk sekarang;netral
bikin pusing teksturnya aneh sangat mengecewakan;negatif
pengiriman cepat netral tidak ada perubahan berarti moga cocok nantinya;netral
bau kurang enak pengiriman telat dan kemasan rusak produk gagal total;negatif
hasilnya jauh dari ekspektasi belum terasa manfaatnya tidak sesuai deskripsi;negatif
efeknya lama banget muncul tidak ada efek asli kurang memuaskan;negatif
pengalaman kurang baik pengiriman telat dan kemasan rusak sangat mengecewakan;negatif
produk aman digunakan cocok untuk pemula semoga ada hasil;netral
pengiriman cepat masih proses penyesuaian oke untuk sekarang;netral
tidak direkomendasikan bikin perut tidak enak kurang memuaskan;negatif
aroma biasa saja netral tidak ada perubahan berarti semoga ada hasil;netral
setelah coba beberapa hari teksturnya aneh tidak sesuai deskripsi;negatif
kemasan rapi belum ada efek signifikan tidak buruk;netral
efeknya lama banget muncul tidak nyaman dipakai sangat mengecewakan;negatif
aku kecewa tidak nyaman dipakai produk gagal total;negatif
rasa standar saja belum ada efek signifikan lumayan lah;netral
kemasan rapi lumayan untuk percobaan oke untuk sekarang;netral
hasilnya jauh dari ekspektasi harga tidak sebanding kualitas tidak sesuai deskripsi;negatif
produk aman digunakan cocok untuk pemula lumayan lah;netral
pengiriman cepat cocok untuk pemula semoga ada hasil;netral
produk aman digunakan masih proses penyesuaian lumayan lah;netral
setelah coba beberapa hari tidak nyaman dipakai sangat mengecewakan;negatif
rasa terlalu pahit teksturnya aneh nyesel beli;negatif
bikin pusing bikin perut tidak enak tidak sesuai deskripsi;negatif
bikin pusing bikin perut tidak enak tidak rekomendasi;negatif
ga ada perubahan sama sekali teksturnya aneh nyesel beli;negatif
jujur tidak sesuai harapan harga tidak sebanding kualitas produk gagal total;negatif
kemasan rapi tidak ada masalah sejauh ini tidak buruk;netral
rasa standar saja butuh waktu untuk lihat hasil moga cocok nantinya;netral
efeknya lama banget muncul malah bikin mulas tidak sesuai deskripsi;negatif
tidak direkomendasikan tidak nyaman dipakai tidak rekomendasi;negatif
masih tunggu hasil cocok untuk pemula semoga ada hasil;netral
pengiriman cepat cocok untuk pemula biasa saja;netral
respon penjual baik tidak ada masalah sejauh ini moga cocok nantinya;netral
tidak direkomendasikan teksturnya aneh tidak beli lagi;negatif
masih tunggu hasil tidak ada masalah sejauh ini semoga ada hasil;netral
masih tunggu hasil lumayan untuk percobaan biasa saja;netral
jujur tidak sesuai harapan tidak nyaman dipakai tidak beli lagi;negatif
hasilnya jauh dari ekspektasi malah bikin mulas kurang memuaskan;negatif
respon penjual baik belum ada efek signifikan semoga ada hasil;netral
pengiriman cepat butuh waktu untuk lihat hasil biasa saja;netral
masih tunggu hasil tidak ada masalah sejauh ini oke untuk sekarang;netral
bau kurang enak malah bikin mulas sangat mengecewakan;negatif
jujur tidak sesuai harapan malah bikin mulas tidak beli lagi;negatif
pengalaman kurang baik tidak ada efek asli tidak sesuai deskripsi;negatif
rasa terlalu pahit teksturnya aneh kapok beli sini lagi;negatif
ga ada perubahan sama sekali malah bikin mulas tidak sesuai deskripsi;negatif
tidak direkomendasikan teksturnya aneh tidak sesuai deskripsi;negatif
baru coba sedikit belum ada efek signifikan lumayan lah;netral
belum tahu hasilnya netral tidak ada perubahan berarti tidak buruk;netral
produk aman digunakan tidak ada masalah sejauh ini semoga ada hasil;netral
produk aman digunakan lumayan untuk percobaan lumayan lah;netral
tidak direkomendasikan tidak nyaman dipakai tidak beli lagi;negatif
bikin pusing tidak ada efek asli sangat mengecewakan;negatif
kemasan rapi tidak ada masalah sejauh ini tidak buruk;netral
kemasan rapi belum ada efek signifikan lumayan lah;netral
produk aman digunakan masih proses penyesuaian semoga ada hasil;netral
belum tahu hasilnya masih proses penyesuaian biasa saja;netral
rasa standar saja netral tidak ada perubahan berarti lumayan lah;netral
produk aman digunakan lumayan untuk percobaan semoga ada hasil;netral
baru coba sedikit butuh waktu untuk lihat hasil lumayan lah;netral
sudah pakai seminggu tidak nyaman dipakai tidak sesuai deskripsi;negatif
jujur tidak sesuai harapan tidak nyaman dipakai tidak sesuai deskripsi;negatif
kemasan rapi tidak ada masalah sejauh ini oke untuk sekarang;netral
masih tunggu hasil netral tidak ada perubahan berarti semoga ada hasil;netral
aku kecewa tidak ada efek asli nyesel beli;negatif
bau kurang enak tidak ada efek asli tidak beli lagi;negatif
rasa terlalu pahit bikin perut tidak enak tidak sesuai deskripsi;negatif
produk aman digunakan tidak ada masalah sejauh ini tidak buruk;netral
rasa terlalu pahit hasilnya mengecewakan tidak sesuai deskripsi;negatif
kemasan rapi netral tidak ada perubahan berarti semoga ada hasil;netral
aku kecewa belum terasa manfaatnya produk gagal total;negatif
aroma biasa saja lumayan untuk percobaan semoga ada hasil;netral
setelah coba beberapa hari hasilnya mengecewakan nyesel beli;negatif
hasilnya jauh dari ekspektasi malah bikin mulas tidak rekomendasi;negatif
sudah pakai seminggu teksturnya aneh parah banget;negatif
hasilnya jauh dari ekspektasi bikin perut tidak enak nyesel beli;negatif
efeknya lama banget muncul bikin perut tidak enak kapok beli sini lagi;negatif
rasa terlalu pahit harga tidak sebanding kualitas parah banget;negatif
sudah pakai seminggu harga tidak sebanding kualitas kapok beli sini lagi;negatif
bikin pusing hasilnya mengecewakan kurang memuaskan;negatif
pengiriman cepat lumayan untuk percobaan oke untuk sekarang;netral
produk aman digunakan belum bisa menilai efeknya tidak buruk;netral
tidak direkomendasikan hasilnya mengecewakan produk gagal total;negatif
hasilnya jauh dari ekspektasi malah bikin mulas kurang memuaskan;negatif
ga ada perubahan sama sekali bikin perut tidak enak kurang memuaskan;negatif
ga ada perubahan sama sekali belum terasa manfaatnya sangat mengecewakan;negatif
rasa standar saja netral tidak ada perubahan berarti moga cocok nantinya;netral
masih tunggu hasil lumayan untuk percobaan biasa saja;netral
bau kurang enak harga tidak sebanding kualitas tidak rekomendasi;negatif
jujur tidak sesuai harapan pengiriman telat dan kemasan rusak parah banget;negatif
bau kurang enak teksturnya aneh sangat mengecewakan;negatif
rasa terlalu pahit pengiriman telat dan kemasan rusak parah banget;negatif
kemasan rapi lumayan untuk percobaan oke untuk sekarang;netral
masih tunggu hasil belum bisa menilai efeknya moga cocok nantinya;netral
bau kurang enak tidak nyaman dipakai tidak sesuai deskripsi;negatif
efeknya lama banget muncul pengiriman telat dan kemasan rusak kurang memuaskan;negatif
aroma biasa saja belum ada efek signifikan oke untuk sekarang;netral
ga ada perubahan sama sekali pengiriman telat dan kemasan rusak tidak beli lagi;negatif
ga ada perubahan sama sekali bikin perut tidak enak tidak beli lagi;negatif
belum tahu hasilnya cocok untuk pemula lumayan lah;netral
rasa standar saja tidak ada masalah sejauh ini tidak buruk;netral
ga ada perubahan sama sekali cuma buang uang nyesel beli;negatif
bikin pusing bikin perut tidak enak tidak beli lagi;negatif
baru coba sedikit masih proses penyesuaian biasa saja;netral
belum tahu hasilnya masih proses penyesuaian tidak buruk;netral
ga ada perubahan sama sekali bikin perut tidak enak kapok beli sini lagi;negatif
bau kurang enak teksturnya aneh tidak beli lagi;negatif
jujur tidak sesuai harapan pengiriman telat dan kemasan rusak kapok beli sini lagi;negatif
respon penjual baik netral tidak ada perubahan berarti semoga ada hasil;netral
respon penjual baik netral tidak ada perubahan berarti oke untuk sekarang;netral
rasa terlalu pahit hasilnya mengecewakan tidak beli lagi;negatif
tidak direkomendasikan tidak ada efek asli kurang memuaskan;negatif
aku kecewa bikin perut tidak enak sangat mengecewakan;negatif
setelah coba beberapa hari pengiriman telat dan kemasan rusak kapok beli sini lagi;negatif
efeknya lama banget muncul belum terasa manfaatnya kurang memuaskan;negatif
masih tunggu hasil netral tidak ada perubahan berarti biasa saja;netral
masih tunggu hasil tidak ada masalah sejauh ini moga cocok nantinya;netral
kecepatan proses kirim tolong ditingkatkan lagi;positif
penjual yang baik;positif
hari nyampe;positif
barang utuh;positif
khasiat mantap;positif
pengiriman cepat;positif
barang sudah sampai dan makasih;positif
barang sama sesuai dengan yang dideskripsikan;positif
penjual yang baik;positif
paket yang bagus;positif
semoga cocok dengan jamunya;positif
terima kasih;positif
sesuai gambar;positif
uang anda akan hilang batal otomatis dari sistem karena toko ini sudah proses lama;negatif
resi yang diberi juga resi palsu hati hati buat yang dropship;negatif
proses lama banget;negatif
terutama kemasan sangat rapi;positif
pelayanannya di tingkatkan lagi gan terima kasih;negatif
semoga berkhasiat sesuai harapan;netral
respon dan pengiriman sedikit lebih lama dari biasanya terima kasih;negatif
kemasan rapi;positif
semoga bermanfaat khasiatnya;netral
kiriman sangat cepat;positif
barang sesuai;positif
sakit ini sampai;netral
produk cukup ampuh;positif
respon cepat direkomendasikan penjual nih;positif
respon cepat;positif
kemasan bagus semoga kedepannya lebih baik lagi pelayanannya;positif
sampai tujuan aman tidak pecah tapi belum dipakai;positif
khasiatnya oke;positif
dah order beberapa kali;netral
cocok;positif
hasilnya bagus lo tapi emang butuh proses ga langsung hilang dan ini udah lama berenti semoga bisa langsung bersih aman yaa aku udah nyobainn gaada efek samping nyaaa direkomendasikan hihi;positif
nanti beli lagi;netral
penjual ramah begitu datang langsung mencoba minum teksturnya lembek ga kayak pil majasmara umum nya dan ada minyak nya mudahan cocok dan berkhasiat ya;positif
karena paket di tulis secara privasi;netral
dan warnanya sama tapi ini bentuk nya bulat dan rasa nya lumayan pahit semoga aja aku cocok pakai ini soalnya udah bulan gak datang bulan di tespeac negatif udah keseringan begini telat dan tak tepat waktu tamu itu gak datang;netral
memang benar manjur;positif
belum tau hasilnya semoga cocok;netral
sudah berbagai macam obat sampai lelah makasih ada hasil;netral
belum saya coba saya harap hasilnya bagus sesuai yang saya inginkan terima kasih pak kurir nya juga ramah saya doakan selalu sehat dan lancar rezekinya;netral
semoga cocok dan bermanfaat packingnya cepet banget kakak terima kasih banyak;positif
kalau ada bintang pasti aku kasih bintang;positif
pelayanan yang sangat baik dan respon yang cepat terima kasih banyak;positif
harga murah;positif
semoga sukses selalu;netral
direkomendasikan lah;positif
mudah mudah cocok;netral
trimakasih;positif
dikira apaan;netral
umur tahun dengan segala permasalahan selesai dan tuntas;positif
mudahan cocok dan nanti pesan lagi;netral
cocok untuk yang mempunyai masalah kewanitaan semuanya terobati;positif
dan setelah ketemu produk ini semua masalah teratasi;positif
selanjutnya pasti pesan lagi;positif
